,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,195.155039,97.996989,49.209131,2.0,128.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000149,409.62,4.282466365,28.741385
1,0.0,0.0,0.0,1.0,8.0,8.0,65536.0,16.0,1.0,4.0,3.4,0.000129,25.206,0.464082273,3.5975370000000004
2,55.944444,19.064617,6.496796,12.0,512.0,4.0,8192.0,2.0,1.0,4.0,3.3,0.0,0.0,0.0,0.0
3,75.600601,25.956837,8.912064,9.0,256.0,512.0,2048.0,8.0,1.0,2.0,2.9,0.00045,243.62,12.26208375,27.249075
4,80.686759,20.711047,5.316206,8.0,1024.0,256.0,32768.0,2.0,8.0,8.0,3.7,0.000333,163.27,6.614802909000001,19.864273
5,0.0,0.0,0.0,4.0,32.0,4.0,32768.0,8.0,2.0,2.0,3.6,0.000305,404.57,9.92845333,32.552306
6,42.960751,14.173482,4.676073,15.0,256.0,1024.0,2048.0,16.0,2.0,8.0,2.8,0.0,0.0,0.0,0.0
7,111.393805,27.636435,6.856508,6.0,16.0,4096.0,1024.0,2.0,4.0,4.0,2.5,0.000586,343.24,22.185402128000003,37.859048
8,60.956416,23.104381,8.75728,11.0,256.0,4.0,2048.0,1.0,4.0,4.0,3.4,0.000226,298.16,5.835208808,25.819508
9,9.222251,1.813585,0.356647,12.0,4096.0,4096.0,1024.0,2.0,2.0,8.0,2.8,0.000413,144.4,8.348948222999999,20.215371
10,36.492404,11.088056,3.369057,16.0,512.0,1024.0,8192.0,4.0,2.0,4.0,2.7,0.00045,985.19,36.82174455,81.826099
11,23.902305,5.756213,1.386226,13.0,4096.0,128.0,2048.0,2.0,2.0,16.0,2.9,0.000592,431.8,26.694331984,45.091777
12,0.0,0.0,0.0,14.0,4.0,512.0,2048.0,16.0,8.0,2.0,2.0,0.000468,600.07,26.556997428,56.745721
13,16.368617,3.139345,0.602096,9.0,8.0,4096.0,65536.0,16.0,2.0,4.0,2.9,0.0,0.0,0.0,0.0
14,82.540984,29.000475,10.189211,8.0,128.0,512.0,2048.0,1.0,1.0,1.0,2.1,0.000333,859.64,21.199026087,63.660739
15,48.883495,17.699971,6.408891,14.0,512.0,16.0,256.0,1.0,2.0,2.0,2.3,0.000305,139.46,5.299199014999999,17.374423
16,132.5,58.031432,25.416205,4.0,32.0,16.0,256.0,1.0,1.0,16.0,3.0,0.000515,195.51,14.225754875000003,27.622825
17,13.4795,3.665754,0.996903,15.0,128.0,8.0,32768.0,4.0,1.0,16.0,2.5,0.00019,47.86,1.32340833,6.965307
18,82.540984,27.451414,9.129769,8.0,512.0,16.0,4096.0,16.0,16.0,4.0,2.4,0.000586,714.1,32.651084950000005,55.718575
19,168.959732,55.083942,17.958366,3.0,1024.0,1024.0,1024.0,4.0,16.0,2.0,2.3,0.000305,208.93,5.914131780000001,19.390596
20,25.600548,6.057614,1.433356,10.0,512.0,128.0,65536.0,16.0,8.0,2.0,3.5,0.000149,96.18,1.468826206,9.857894
21,0.0,0.0,0.0,15.0,8.0,8.0,64.0,4.0,16.0,8.0,3.3,0.00038,643.47,18.13610306,47.726587
22,0.0,0.0,0.0,12.0,1024.0,1024.0,64.0,4.0,8.0,16.0,2.2,0.0,0.0,0.0,0.0
23,60.956416,19.357006,6.146911,11.0,256.0,512.0,8192.0,1.0,16.0,16.0,3.3,0.0,0.0,0.0,0.0
24,129.102564,32.407767,8.135109,5.0,4096.0,16.0,128.0,2.0,2.0,8.0,2.0,0.000413,285.96,11.894441713,28.800101
25,82.540984,31.610201,12.10556,8.0,16.0,8.0,1024.0,1.0,16.0,1.0,2.7,0.000195,224.72,4.243480605,21.761439000000003
26,16.295239,4.581342,1.288026,16.0,4.0,32.0,65536.0,4.0,4.0,8.0,2.5,0.000305,124.94,4.460319085,14.623997
27,93.587361,31.042156,10.296428,7.0,128.0,1024.0,64.0,1.0,2.0,1.0,3.0,0.000592,646.18,31.178915503999995,52.667087
